logo,name_cn,name_en,region,industry,role,desc
https://placehold.co/64x64?text=LOGO,示例国内卖家1,Sample CN Seller 1,华东,电子,cn-seller,国内卖家样本公司，行业电子，地区华东
https://placehold.co/64x64?text=LOGO,示例国内卖家2,Sample CN Seller 2,华南,机械,cn-seller,国内卖家样本公司，行业机械，地区华南
https://placehold.co/64x64?text=LOGO,示例国内卖家3,Sample CN Seller 3,华北,纺织,cn-seller,国内卖家样本公司，行业纺织，地区华北
https://placehold.co/64x64?text=LOGO,示例国内卖家4,Sample CN Seller 4,东北,化工,cn-seller,国内卖家样本公司，行业化工，地区东北
https://placehold.co/64x64?text=LOGO,示例国内卖家5,Sample CN Seller 5,西南,食品,cn-seller,国内卖家样本公司，行业食品，地区西南
https://placehold.co/64x64?text=LOGO,示例国内卖家6,Sample CN Seller 6,华东,家具,cn-seller,国内卖家样本公司，行业家具，地区华东
https://placehold.co/64x64?text=LOGO,示例国内卖家7,Sample CN Seller 7,华南,汽配,cn-seller,国内卖家样本公司，行业汽配，地区华南
https://placehold.co/64x64?text=LOGO,示例国内卖家8,Sample CN Seller 8,华北,医药,cn-seller,国内卖家样本公司，行业医药，地区华北
https://placehold.co/64x64?text=LOGO,示例国内卖家9,Sample CN Seller 9,东北,家电,cn-seller,国内卖家样本公司，行业家电，地区东北
https://placehold.co/64x64?text=LOGO,示例国内卖家10,Sample CN Seller 10,西南,建材,cn-seller,国内卖家样本公司，行业建材，地区西南
https://placehold.co/64x64?text=LOGO,示例国内卖家11,Sample CN Seller 11,华东,电子,cn-seller,国内卖家样本公司，行业电子，地区华东
https://placehold.co/64x64?text=LOGO,示例国内卖家12,Sample CN Seller 12,华南,机械,cn-seller,国内卖家样本公司，行业机械，地区华南
https://placehold.co/64x64?text=LOGO,示例国内卖家13,Sample CN Seller 13,华北,纺织,cn-seller,国内卖家样本公司，行业纺织，地区华北
https://placehold.co/64x64?text=LOGO,示例国内卖家14,Sample CN Seller 14,东北,化工,cn-seller,国内卖家样本公司，行业化工，地区东北
https://placehold.co/64x64?text=LOGO,示例国内卖家15,Sample CN Seller 15,西南,食品,cn-seller,国内卖家样本公司，行业食品，地区西南
https://placehold.co/64x64?text=LOGO,示例国内卖家16,Sample CN Seller 16,华东,家具,cn-seller,国内卖家样本公司，行业家具，地区华东
https://placehold.co/64x64?text=LOGO,示例国内卖家17,Sample CN Seller 17,华南,汽配,cn-seller,国内卖家样本公司，行业汽配，地区华南
https://placehold.co/64x64?text=LOGO,示例国内卖家18,Sample CN Seller 18,华北,医药,cn-seller,国内卖家样本公司，行业医药，地区华北
https://placehold.co/64x64?text=LOGO,示例国内卖家19,Sample CN Seller 19,东北,家电,cn-seller,国内卖家样本公司，行业家电，地区东北
https://placehold.co/64x64?text=LOGO,示例国内卖家20,Sample CN Seller 20,西南,建材,cn-seller,国内卖家样本公司，行业建材，地区西南
https://placehold.co/64x64?text=LOGO,示例国内卖家21,Sample CN Seller 21,华东,电子,cn-seller,国内卖家样本公司，行业电子，地区华东
https://placehold.co/64x64?text=LOGO,示例国内卖家22,Sample CN Seller 22,华南,机械,cn-seller,国内卖家样本公司，行业机械，地区华南
https://placehold.co/64x64?text=LOGO,示例国内卖家23,Sample CN Seller 23,华北,纺织,cn-seller,国内卖家样本公司，行业纺织，地区华北
https://placehold.co/64x64?text=LOGO,示例国内卖家24,Sample CN Seller 24,东北,化工,cn-seller,国内卖家样本公司，行业化工，地区东北
https://placehold.co/64x64?text=LOGO,示例国内卖家25,Sample CN Seller 25,西南,食品,cn-seller,国内卖家样本公司，行业食品，地区西南
https://placehold.co/64x64?text=LOGO,示例国内卖家26,Sample CN Seller 26,华东,家具,cn-seller,国内卖家样本公司，行业家具，地区华东
https://placehold.co/64x64?text=LOGO,示例国内卖家27,Sample CN Seller 27,华南,汽配,cn-seller,国内卖家样本公司，行业汽配，地区华南
https://placehold.co/64x64?text=LOGO,示例国内卖家28,Sample CN Seller 28,华北,医药,cn-seller,国内卖家样本公司，行业医药，地区华北
https://placehold.co/64x64?text=LOGO,示例国内卖家29,Sample CN Seller 29,东北,家电,cn-seller,国内卖家样本公司，行业家电，地区东北
https://placehold.co/64x64?text=LOGO,示例国内卖家30,Sample CN Seller 30,西南,建材,cn-seller,国内卖家样本公司，行业建材，地区西南
