logo,name_cn,name_en,region,industry,role,desc
https://placehold.co/64x64?text=LOGO,示例海外代理1,Sample Overseas Agent 1,欧洲,电子,overseas-agent,海外代理样本公司，行业电子，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外代理2,Sample Overseas Agent 2,北美,机械,overseas-agent,海外代理样本公司，行业机械，地区北美
https://placehold.co/64x64?text=LOGO,示例海外代理3,Sample Overseas Agent 3,东南亚,纺织,overseas-agent,海外代理样本公司，行业纺织，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外代理4,Sample Overseas Agent 4,中东,化工,overseas-agent,海外代理样本公司，行业化工，地区中东
https://placehold.co/64x64?text=LOGO,示例海外代理5,Sample Overseas Agent 5,非洲,食品,overseas-agent,海外代理样本公司，行业食品，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外代理6,Sample Overseas Agent 6,欧洲,家具,overseas-agent,海外代理样本公司，行业家具，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外代理7,Sample Overseas Agent 7,北美,汽配,overseas-agent,海外代理样本公司，行业汽配，地区北美
https://placehold.co/64x64?text=LOGO,示例海外代理8,Sample Overseas Agent 8,东南亚,医药,overseas-agent,海外代理样本公司，行业医药，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外代理9,Sample Overseas Agent 9,中东,家电,overseas-agent,海外代理样本公司，行业家电，地区中东
https://placehold.co/64x64?text=LOGO,示例海外代理10,Sample Overseas Agent 10,非洲,建材,overseas-agent,海外代理样本公司，行业建材，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外代理11,Sample Overseas Agent 11,欧洲,电子,overseas-agent,海外代理样本公司，行业电子，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外代理12,Sample Overseas Agent 12,北美,机械,overseas-agent,海外代理样本公司，行业机械，地区北美
https://placehold.co/64x64?text=LOGO,示例海外代理13,Sample Overseas Agent 13,东南亚,纺织,overseas-agent,海外代理样本公司，行业纺织，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外代理14,Sample Overseas Agent 14,中东,化工,overseas-agent,海外代理样本公司，行业化工，地区中东
https://placehold.co/64x64?text=LOGO,示例海外代理15,Sample Overseas Agent 15,非洲,食品,overseas-agent,海外代理样本公司，行业食品，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外代理16,Sample Overseas Agent 16,欧洲,家具,overseas-agent,海外代理样本公司，行业家具，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外代理17,Sample Overseas Agent 17,北美,汽配,overseas-agent,海外代理样本公司，行业汽配，地区北美
https://placehold.co/64x64?text=LOGO,示例海外代理18,Sample Overseas Agent 18,东南亚,医药,overseas-agent,海外代理样本公司，行业医药，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外代理19,Sample Overseas Agent 19,中东,家电,overseas-agent,海外代理样本公司，行业家电，地区中东
https://placehold.co/64x64?text=LOGO,示例海外代理20,Sample Overseas Agent 20,非洲,建材,overseas-agent,海外代理样本公司，行业建材，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外代理21,Sample Overseas Agent 21,欧洲,电子,overseas-agent,海外代理样本公司，行业电子，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外代理22,Sample Overseas Agent 22,北美,机械,overseas-agent,海外代理样本公司，行业机械，地区北美
https://placehold.co/64x64?text=LOGO,示例海外代理23,Sample Overseas Agent 23,东南亚,纺织,overseas-agent,海外代理样本公司，行业纺织，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外代理24,Sample Overseas Agent 24,中东,化工,overseas-agent,海外代理样本公司，行业化工，地区中东
https://placehold.co/64x64?text=LOGO,示例海外代理25,Sample Overseas Agent 25,非洲,食品,overseas-agent,海外代理样本公司，行业食品，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外代理26,Sample Overseas Agent 26,欧洲,家具,overseas-agent,海外代理样本公司，行业家具，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外代理27,Sample Overseas Agent 27,北美,汽配,overseas-agent,海外代理样本公司，行业汽配，地区北美
https://placehold.co/64x64?text=LOGO,示例海外代理28,Sample Overseas Agent 28,东南亚,医药,overseas-agent,海外代理样本公司，行业医药，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外代理29,Sample Overseas Agent 29,中东,家电,overseas-agent,海外代理样本公司，行业家电，地区中东
https://placehold.co/64x64?text=LOGO,示例海外代理30,Sample Overseas Agent 30,非洲,建材,overseas-agent,海外代理样本公司，行业建材，地区非洲
