logo,name_cn,name_en,region,industry,role,desc
https://placehold.co/64x64?text=LOGO,示例国内代理1,Sample CN Agent 1,华东,电子,cn-agent,国内代理样本公司，行业电子，地区华东
https://placehold.co/64x64?text=LOGO,示例国内代理2,Sample CN Agent 2,华南,机械,cn-agent,国内代理样本公司，行业机械，地区华南
https://placehold.co/64x64?text=LOGO,示例国内代理3,Sample CN Agent 3,华北,纺织,cn-agent,国内代理样本公司，行业纺织，地区华北
https://placehold.co/64x64?text=LOGO,示例国内代理4,Sample CN Agent 4,东北,化工,cn-agent,国内代理样本公司，行业化工，地区东北
https://placehold.co/64x64?text=LOGO,示例国内代理5,Sample CN Agent 5,西南,食品,cn-agent,国内代理样本公司，行业食品，地区西南
https://placehold.co/64x64?text=LOGO,示例国内代理6,Sample CN Agent 6,华东,家具,cn-agent,国内代理样本公司，行业家具，地区华东
https://placehold.co/64x64?text=LOGO,示例国内代理7,Sample CN Agent 7,华南,汽配,cn-agent,国内代理样本公司，行业汽配，地区华南
https://placehold.co/64x64?text=LOGO,示例国内代理8,Sample CN Agent 8,华北,医药,cn-agent,国内代理样本公司，行业医药，地区华北
https://placehold.co/64x64?text=LOGO,示例国内代理9,Sample CN Agent 9,东北,家电,cn-agent,国内代理样本公司，行业家电，地区东北
https://placehold.co/64x64?text=LOGO,示例国内代理10,Sample CN Agent 10,西南,建材,cn-agent,国内代理样本公司，行业建材，地区西南
https://placehold.co/64x64?text=LOGO,示例国内代理11,Sample CN Agent 11,华东,电子,cn-agent,国内代理样本公司，行业电子，地区华东
https://placehold.co/64x64?text=LOGO,示例国内代理12,Sample CN Agent 12,华南,机械,cn-agent,国内代理样本公司，行业机械，地区华南
https://placehold.co/64x64?text=LOGO,示例国内代理13,Sample CN Agent 13,华北,纺织,cn-agent,国内代理样本公司，行业纺织，地区华北
https://placehold.co/64x64?text=LOGO,示例国内代理14,Sample CN Agent 14,东北,化工,cn-agent,国内代理样本公司，行业化工，地区东北
https://placehold.co/64x64?text=LOGO,示例国内代理15,Sample CN Agent 15,西南,食品,cn-agent,国内代理样本公司，行业食品，地区西南
https://placehold.co/64x64?text=LOGO,示例国内代理16,Sample CN Agent 16,华东,家具,cn-agent,国内代理样本公司，行业家具，地区华东
https://placehold.co/64x64?text=LOGO,示例国内代理17,Sample CN Agent 17,华南,汽配,cn-agent,国内代理样本公司，行业汽配，地区华南
https://placehold.co/64x64?text=LOGO,示例国内代理18,Sample CN Agent 18,华北,医药,cn-agent,国内代理样本公司，行业医药，地区华北
https://placehold.co/64x64?text=LOGO,示例国内代理19,Sample CN Agent 19,东北,家电,cn-agent,国内代理样本公司，行业家电，地区东北
https://placehold.co/64x64?text=LOGO,示例国内代理20,Sample CN Agent 20,西南,建材,cn-agent,国内代理样本公司，行业建材，地区西南
https://placehold.co/64x64?text=LOGO,示例国内代理21,Sample CN Agent 21,华东,电子,cn-agent,国内代理样本公司，行业电子，地区华东
https://placehold.co/64x64?text=LOGO,示例国内代理22,Sample CN Agent 22,华南,机械,cn-agent,国内代理样本公司，行业机械，地区华南
https://placehold.co/64x64?text=LOGO,示例国内代理23,Sample CN Agent 23,华北,纺织,cn-agent,国内代理样本公司，行业纺织，地区华北
https://placehold.co/64x64?text=LOGO,示例国内代理24,Sample CN Agent 24,东北,化工,cn-agent,国内代理样本公司，行业化工，地区东北
https://placehold.co/64x64?text=LOGO,示例国内代理25,Sample CN Agent 25,西南,食品,cn-agent,国内代理样本公司，行业食品，地区西南
https://placehold.co/64x64?text=LOGO,示例国内代理26,Sample CN Agent 26,华东,家具,cn-agent,国内代理样本公司，行业家具，地区华东
https://placehold.co/64x64?text=LOGO,示例国内代理27,Sample CN Agent 27,华南,汽配,cn-agent,国内代理样本公司，行业汽配，地区华南
https://placehold.co/64x64?text=LOGO,示例国内代理28,Sample CN Agent 28,华北,医药,cn-agent,国内代理样本公司，行业医药，地区华北
https://placehold.co/64x64?text=LOGO,示例国内代理29,Sample CN Agent 29,东北,家电,cn-agent,国内代理样本公司，行业家电，地区东北
https://placehold.co/64x64?text=LOGO,示例国内代理30,Sample CN Agent 30,西南,建材,cn-agent,国内代理样本公司，行业建材，地区西南
