logo,name_cn,name_en,region,industry,role,desc
https://placehold.co/64x64?text=LOGO,示例海外卖家1,Sample Overseas Seller 1,欧洲,电子,overseas-seller,海外卖家样本公司，行业电子，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外卖家2,Sample Overseas Seller 2,北美,机械,overseas-seller,海外卖家样本公司，行业机械，地区北美
https://placehold.co/64x64?text=LOGO,示例海外卖家3,Sample Overseas Seller 3,东南亚,纺织,overseas-seller,海外卖家样本公司，行业纺织，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外卖家4,Sample Overseas Seller 4,中东,化工,overseas-seller,海外卖家样本公司，行业化工，地区中东
https://placehold.co/64x64?text=LOGO,示例海外卖家5,Sample Overseas Seller 5,非洲,食品,overseas-seller,海外卖家样本公司，行业食品，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外卖家6,Sample Overseas Seller 6,欧洲,家具,overseas-seller,海外卖家样本公司，行业家具，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外卖家7,Sample Overseas Seller 7,北美,汽配,overseas-seller,海外卖家样本公司，行业汽配，地区北美
https://placehold.co/64x64?text=LOGO,示例海外卖家8,Sample Overseas Seller 8,东南亚,医药,overseas-seller,海外卖家样本公司，行业医药，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外卖家9,Sample Overseas Seller 9,中东,家电,overseas-seller,海外卖家样本公司，行业家电，地区中东
https://placehold.co/64x64?text=LOGO,示例海外卖家10,Sample Overseas Seller 10,非洲,建材,overseas-seller,海外卖家样本公司，行业建材，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外卖家11,Sample Overseas Seller 11,欧洲,电子,overseas-seller,海外卖家样本公司，行业电子，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外卖家12,Sample Overseas Seller 12,北美,机械,overseas-seller,海外卖家样本公司，行业机械，地区北美
https://placehold.co/64x64?text=LOGO,示例海外卖家13,Sample Overseas Seller 13,东南亚,纺织,overseas-seller,海外卖家样本公司，行业纺织，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外卖家14,Sample Overseas Seller 14,中东,化工,overseas-seller,海外卖家样本公司，行业化工，地区中东
https://placehold.co/64x64?text=LOGO,示例海外卖家15,Sample Overseas Seller 15,非洲,食品,overseas-seller,海外卖家样本公司，行业食品，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外卖家16,Sample Overseas Seller 16,欧洲,家具,overseas-seller,海外卖家样本公司，行业家具，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外卖家17,Sample Overseas Seller 17,北美,汽配,overseas-seller,海外卖家样本公司，行业汽配，地区北美
https://placehold.co/64x64?text=LOGO,示例海外卖家18,Sample Overseas Seller 18,东南亚,医药,overseas-seller,海外卖家样本公司，行业医药，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外卖家19,Sample Overseas Seller 19,中东,家电,overseas-seller,海外卖家样本公司，行业家电，地区中东
https://placehold.co/64x64?text=LOGO,示例海外卖家20,Sample Overseas Seller 20,非洲,建材,overseas-seller,海外卖家样本公司，行业建材，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外卖家21,Sample Overseas Seller 21,欧洲,电子,overseas-seller,海外卖家样本公司，行业电子，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外卖家22,Sample Overseas Seller 22,北美,机械,overseas-seller,海外卖家样本公司，行业机械，地区北美
https://placehold.co/64x64?text=LOGO,示例海外卖家23,Sample Overseas Seller 23,东南亚,纺织,overseas-seller,海外卖家样本公司，行业纺织，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外卖家24,Sample Overseas Seller 24,中东,化工,overseas-seller,海外卖家样本公司，行业化工，地区中东
https://placehold.co/64x64?text=LOGO,示例海外卖家25,Sample Overseas Seller 25,非洲,食品,overseas-seller,海外卖家样本公司，行业食品，地区非洲
https://placehold.co/64x64?text=LOGO,示例海外卖家26,Sample Overseas Seller 26,欧洲,家具,overseas-seller,海外卖家样本公司，行业家具，地区欧洲
https://placehold.co/64x64?text=LOGO,示例海外卖家27,Sample Overseas Seller 27,北美,汽配,overseas-seller,海外卖家样本公司，行业汽配，地区北美
https://placehold.co/64x64?text=LOGO,示例海外卖家28,Sample Overseas Seller 28,东南亚,医药,overseas-seller,海外卖家样本公司，行业医药，地区东南亚
https://placehold.co/64x64?text=LOGO,示例海外卖家29,Sample Overseas Seller 29,中东,家电,overseas-seller,海外卖家样本公司，行业家电，地区中东
https://placehold.co/64x64?text=LOGO,示例海外卖家30,Sample Overseas Seller 30,非洲,建材,overseas-seller,海外卖家样本公司，行业建材，地区非洲
