人民币费用	编号	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
	船东	MSC	MSK	CMA	COSCO	HPL	ONE	EMC	HMM	ZIM	YML	OOCL	PIL	万海	KMTC	海丰	TSL	RCL	长锦	CK	南星
港杂	20GP	187	80	184	226	234	185	187	187	187	187	185	184	205	187	200	187	187	184	187	187
THC	20GP	645	563	510	680	634	532	620	612	658	566	713	593	630	670	625	630	656	656	660	563
安保	20GP	8	8	8		8	10	10	8	10	10	10	8		10	10	10	10	8	20	10
CHC	20GP	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
VGM	20GP	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
铅封	20GP			30	30		20	30		30		30	60		30		30	30		30	
设备管理费	20GP		100	30		30	20			45							30				100
装箱费(机力)	20GP	600	600	600	600	600	600	600	600	600	600	600	600	600	600	650	600	600	600	600	600
太平洋集港	20GP	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
订舱服务费			120																		
预配舱单	BILL	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
文件	BILL	450	450	450	500	400	450	450	450	450	450	450	450	450	450	450	450	450	425	430	450
电放	BILL	300	190	450	300	400	450	300	400	400	400	450	450	450	450	300	400	400	200	450	190
港杂	40GP/HC	314	132	314	372	408	333	314	308	310	314	304	308	336	308	330	314	314	314	314	314
THC	40GP/HC	1012	856	760	1034	838	814	930	918	986 	887	1070	949	960	1020	960 	960	998	998 	1000	856
安保	40GP/HC	12	12	15		12	12	15	12	15	15	15	12		12	15	15	15	15	30	15
CHC	40GP/HC	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
VGM	40GP/HC	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
铅封	40GP/HC			30	30		20	30		30		30	60		30		30	30		30	
设备管理费	40GP/HC		100	30		30	20			45							30				100
太平洋集港	40GP/HC	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200
订舱服务费			220																		
装箱费(机力)	40GP/HC	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900
预配舱单	BILL	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
文件	BILL	450	450	450	500	400	450	450	450	450	450	450	450	450	450	450	450	450	425	430	450
电放	BILL	300	190	450	300	400	450	300	400	400	400	450	450	450	450	300	400	400	200	450	190
SWB	BILL	可以	可以	可以	可以	可以	可以	不可以	不可以	可以	不可以	可以	不可以	可以	可以	不可以	不可以	不可以	不可以	不可以	可以
